score,summary,review
5.0,terrific marinade,"This is hands-down the easiest and tastiest marinade I've ever used.  My whole family and many families in our area buy it from local stores.  It is strong so a little goes a long way.  My husband had never had it before we married and now he wants it in every pot roast with vegetables and in hamburgers. When making pot roast, I water it down a little which makes it a little less strong but still tenderizes the meat and provides water for the vegetables. I love it on fish and chicken.  Our cabinet is never without it.  Thanks, Allegro!"
5.0,Most excellent,"Very good taste,Not hard like most others that I have tried. Real beef!! A real good soft and chewy treat! Nice mild flavor. Go ahead try them,,"
5.0,These are great!,These crackers are delish! I love them with a wedge of light laughing cow cheese on top. I wish they were more affordable. My local health food store sells them for $4.75 per package.
1.0,"""I'd Rather Fight Than Switch""","To me, fruit juice in small cans are simply a staple - first example that comes to mind is good ol' Dole pineapple juice. The trend towards trendy little ""health"" beverages in overpriced little cans is nearly tragic.  There is nothing about this product that would compel me to buy it. If I want a soda, I'll just grab one. I don't drink enough of them to have much dietary impact and despite the claim of ""100% What You Want"", there is nothing in here for me. If I want 100% Of What I Want, I will buy a few oranges and some seltzer water. If I want ""0% Of What You Don't Want"", well, why buy it?  This is a time when we had better look pretty closely at what is an indulgent convenience and what is a necessity, and how to find a happy medium. I consider the likes of Pellegrino Aranciata, Orangina and Izze a luxury, and when I indulge it is a true delight.  ""Switch"" is a product that is not better tasting, proven healthier, or even less expensive than any of many other alternatives. Once again marketing is driving product creation and design, and that is a hateful concept.  If you want a similar taste experience for about the same price,  pick up some Alka-Seltzer Cold Plus Nighttime- you'll stop sneezing and sniffling and get a great night's sleep."
5.0,RedButterfly,"I simply LOVE this tea! It is yummy, full of flavor and the best part is the caffeine! I really love Yogi brand tea, but it could get a big expensive at retail or grocery stores, so the bulk prices on Amazon are perfect for customers like me that drink tea daily! Shipping was a breeze, as always!"
5.0,Great item,"Its getting harder and harder to find these around town where I live. Great items, I agree with the other review that after a while the smell is terrible. However its a small price to pay. Both my dogs love their hooves. I have a coon hound and cocker spaniel/beagle mix. They will chew on the hooves for hours."
1.0,"Like was said, smells and tastes like grass","OK, so please do not consider this a negative review of Davidson's Tea in general.  I guess tea is like anything else, there are some who will like a particular tea and some who won't.  As you can see, there are other reviewers who like this tea a lot.  Another reviewer hit it right on the head, ""smells like grass"".  It does in fact smell like grass.  I don't want that.  I am ignorant of what a green tea should taste like and I am sure this is the proper smell and taste for this tea and that as green rooibos goes it will be better than other because Davidson's teas usually are, but like my dad told me about Gin-and-Tonics when I was a we one who snuck a sip while he pretended not to be looking, ""it is an aquired taste son"".  I give it 1 star because I personnaly don't like it, not because it is wrong in how it tastes or smells.  Hail Flavius!"
1.0,beer bread,"We all know how much we love the cable company.  Well, they have spread out to new grounds with the same care and quality that we all pay thru the nose for.  Larry should stick to cable and see if he can perfect that before doing anything else.  Hell, his beer bread cost me a good can of beer.  We always bought beer bread at Traders Joe's but they stopped selling it.  This was a very bland substitute!"
5.0,Go to smucker's site,"You can order a box of 3, 6, 8 and 12 bags of this coffee (in season) for a reasonable price  (~$8 per bag)  http://onlinestore.smucker.com/display_category.cfm?cat_id=86&viewall=0&pg=1"
5.0,Great Product,My dog is 11 years old and has a bad back. He is a VERY picky eater.  He LOVES these treats and asks for them if we forget to give him one. (Which is seldom because he is so spoiled) There is a bit more of a perk in his step since we've discovered this product. The cost here on Amazon is fantastic too because the stores have been charging me $7.99 a bag. (NYC prices yikes)
5.0,What a sweet treat!,Excellent flavor!! This stevia is so good that I signed on to Subscribe and Save--I use it in tea every day and I can't imagine getting tired of it.
5.0,Great Catnip Seeds,I've been very happy with these catnip seeds. They grew with beautiful white flowers that decorated my garden. I'm very impressed with these seeds. They only take about a week to grow.
5.0,best gummy snack ive ever had,these are my favorite gummy snack of all time. every flavor is awesome but there's only 3 but who cares there delicious!  these are very hard to find in stores the only place i can find them is at a grocery store in those open bin things in the candy area and there always dried out. these however are the freshest gummy octopus's ive every had and i couldn't be happier.  shipping from candy nation was fast (3 days) and candy was very fresh
5.0,AWESOME Went out of their way to get a gift on time!,This was the best Customer Service! They went out of their way to get a birthday gift to our customer on time!
5.0,Saccharin is great,"I've used saccharin tablets for many years, but the recent ""new"" sugar substitutes seem to have driven saccharin tablets off the shelves of all the local supermarkets. I'm pleased to find this product at Amazon as it is a vendor I'm comfortable with. Apparently, if you prefer to use saccharin as a sugar substitute, this is the place to get it."
5.0,The best instant coffee!,"Absolutely the best instant coffee in the market. Through Amazon.com the price is unbeateable. I subscribe for every six months orders and have experienced delivery on time each time, plus discounts. Both the caffeinated and uncaffeinated are mellow and need no cream to enjoy its full flavor."
1.0,Sone Ugly Added Spice That Looks Like Mouse Droppings,"I ended up throwing this one away mid-way because I kept picking brown mouse like droppings out of my mouth. I inspected it to see what it could be, likely just a spice they added, but the chunks were big, and seeing that they looked just like mouse poop, I could not continue on and finish it.  Its a shame because the soup itself tastes great... however I cannot get past the spice things they added. They looked far too much like rodent droppings."
5.0,Special Tea,"This is one of my favourite teas now that I've found it.  Absolutely delicious. Blackberry fruity with a hint of maple.  Great tea in a wonderful wooden box that could be used again. Would be great iced, but is also excellent hot."
1.0,Very Over Sold,"From the product write-up, you'd think this company dries the world's most flavorful onions and ships them to the customer the same day.  What I got was a container of what seemed to be stale, flavorless micro-minced onions.  You get the onion burn, if you eat a full tablespoon, alone (I did), but none of the fragrance and other rich flavor that a good dried onion must have."
1.0,RiceWorks has lost its taste,"I used to love the Sweet chili Riceworks but they must have change the recipe. It doesn't taste as good. Also, although the chip bags came in a box, the chips had been crushed. I will not/not buy them again."
5.0,Great Pie Filling,"I love this Pie filling! I am a Diabetic and it is heard to find a filling that won't max out my Numbers or make me sick. This one worked all the way around. When used as the Directions say I had six good servings of CHERRY Pie, and did not have High Numbers in the morning."
1.0,too bad,"It's sad, but unless you like artificial sweetener a whole lot, this won't be for you any more than it was for me."
5.0,Best ever!!!,These pine nuts were so good that I am buying another 3 pounds.  Definitely the best I have ever tasted.
5.0,MmmmmmMINT!,"MMmmmmmMINT Matcha is JUST what I needed to help round off my matcha supply!  I love mint but need to be in the mood for it. Luckly for me that mood comes fairly often!  Mint is eye opening, awakening, and also helps soothe a troubled tummy.  We had some really good Japanese food last night at a great restaurant but all of us were having some tummy ""issues"" last evening after dinner. This mornings mint matcha is really helping to settle the tummy woes.  When I opened my bag from Red Leaf Tea the aroma was striking! I instantly thought ""ohhhh yessss this is IT"". It had some slight resemblance to Spearmint gum, and while I do detect a slight peppermint flavor here I would have to say the mint used is mostly spearmint. For those who know their mints some really prefer one type of mint over another. Spearmint to me is sweeter than peppermint and there is less of a bite to it. Some may beg to differ since most people are used to peppermint candies but in its true form I find peppermint to have more bite, sharper than spearmint and spearmint more sweet naturally. Regardless of what type of mint you prefer I have to say this Mint Matcha from Red Leaf does in fact taste very natural!  Yet at the same time it is an excellent mixer as well. Of course you will want to use a little less mint matcha in your blend along with another matcha but I choose to blend mint with mocha this morning. The mocha I used a full scoop and the mint just a half of a scoop. I can taste the mocha very well and the mint does not totally over power it.  This mint does not in any way taste like mouth wash or toothpaste. It is quite enjoyable. I am so glad that I purchased this one and will absolutely keep this as a stash regular.  Also I notice that the mocha base is providing a nice creamy backdrop to the mint matcha! Ohhhh I MUST try a french vanilla / mint blend as soon as possible - I am thinking ""Grasshopper"" flavored matcha here! Oh yeah!  So all in all I could not be happier that I went for it and grabbed this Mint Matcha from Red Leaf!"
1.0,I expected better,"My mother-in-law, my adult children, my wife and I all tried this and quite frankly all thought it was just plain bad bad bad.You could taste liquid smoke in it and it didn't resemble Jalapeno flavor at all.  I was really disappointed.  I still go to Taco Bell even if the news said they didn't have beef in their tacos because I like the taste of what I get.  Some people gave this product a 5 star rating but I'm sorry but my panel of experts (;-), say no way Jose."
1.0,Horrible,"Not only does this gum smell like cough syrup, it tastes like it too. Disgusting.  Ad for the fruit taste, its there for a very short time before turning into a stiff ball of gum."
5.0,Handspresso HP intense portafilter,I already own the handpresso traveling kit and it probably is one of the best gadgets I have ever owned  When we are traveling it is so nice to have access to good coffee so when I saw this item and read what it did I naturally had to have it its kind of like a update for the handpresso unit I cant wait to try it out there are going to be some jealous people around when they smell the fresh espresso (LOL)
5.0,I LOVE THIS COFFEE!!!,"New Orleans is one of my favorite cities in the world. Everytime I go, Cafe DuMonde is a must....as I travel and sample coffees around the world, I realize that this is coffee can hold its own. I am sorry they don't sell the beans so I can grind my own...but I love the smoky rich flavor. Really great coffee!!! I can bring a little of Louisiana everywhere I go. Thanks!!"
5.0,Great product!!,I really like the taste of these bars. They are convenient as a breakfast or snack item. I keep coming back for more!!
1.0,Cachou Lajaunie Licorice,YUK!  I threw it away.  I guess it is an aquired taste.  I love black licorice and thought this would be a could way to have it without to many calories.
5.0,Excellant Hazelnut flavor for coffee,I prefer hazelnut flavored coffee and used instant Taster's Choice brand until they stopped packaging it in the 6 or 7 oz canisters.  After experimenting with various flavoring agents I found this Torani syrup to fill the bill.  Don't add any sugar or sweetener as the syrup is already sweet.  Personally I am very happy with the results.  I have my hazelnut instant coffee again at a reasonable price.
5.0,Outstanding spices!,"Chef Paul spices are simply the best! Paul Prudhomme is one of my favorite chefs, a real genius with foods.  His spices will make any backyard chef a master. I've not had anyone not remark on how good the steaks, chicken, fish, pork, or shrimp is.  I tried finding it in grocery stores, and it was a waste of time. Buy it on Amazon. I ordered it in the larger packages, and it's economical that way."
5.0,Outstanding taste!,"Great product!  I've always loved these crackers and was delighted to find them so affordable here. Sorry to see they've now become too expensive to buy, though."
5.0,Best Instant Ever,"This is the best instant coffee I have ever tried and I have tried so many brands, I even prefer it to brewed coffee. Very tasty with great aroma and rich coffee flavor."
5.0,Hershey's cinnamon chips...a little piece of heaven!!!,If you are looking for something to change up the chocolate rut....this is your product!!  They are tasty and are high quality.  Make a delightful snickerdoodle bread!!!  Shipping was amazingly quick!!!  I reordered a double box with the same quick shipping results!!!  They arrived in less than 1 week!
1.0,"Did not ship the brand listed, and got 3 cans of Hot instead of the variety pack.","After searching reviews on amazon, I chose to order this brand due to name recongnition and high reviews on this particular brand, La Tienda. The picture shows 3 cans of La Tienda, but what you get is another brand entirely: some brand called SPP, different tin, different label, different brand. Not affiliated whatsoever with La Tienda. Futhermore, the picture clearly shows a variety pack- one can of HOT one can of SWEET and one can of BITTERSWEET. I got three cans of HOT.  Since the packaging is entirely in spanish, I cannot discern if this is a reputable brand or producer, nor can I know if this brand is a cheap substitute for the brand I thought I was getting. Since I am not an expert on Spanish Smoked Paprika, I decided to just go with a seemingly well known brand and not take a chance on a brand I never heard of. For all I know this could be a store brand or generic and not produced to the standards of the brand he is advertising.  Seller needs to take down the picture and relist with what you are actually getting. If you are brand conscious, go elsewhwere. The brand I received, ""SPP"" is not being sold by any one on amazon, and I can't actually find ANY information about this brand at all."
